long;lat;id;nombre;categoria;cocina;ambientacion;telefono;mail;horario;calle_nombre;calle_altura;calle_cruce;direccion_completa;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,436535;-34,58534613;6;8 MILIMETROS;RESTAURANTE;DE AUTOR;CINE;4899 0474;;;GORRITI;5535;;GORRITI 5535;Palermo;Comuna 14;1414;C1414BKC
-58,38104345;-34,6014656;2094;9 DE JULIO;RESTAURANTE;;;4322 2501;;;PELLEGRINI CARLOS;593;;PELLEGRINI, CARLOS 593;San Nicolas;Comuna 1;1009;C1009ABK
-58,47315205;-34,67544011;2740;9 DE JULIO II;CAFE;PIZZERIA;CLASICO PORTEÑO;;;;RIESTRA;5498;;RIESTRA AV. 5498;Villa Lugano;Comuna 8;1439;C1439BYS
-58,37445146;-34,60214078;2095;ABC;RESTAURANTE;ALEMANA;ALEMANA;4393 3992;;lunes a viernes de 12 a 17;LAVALLE;545;;LAVALLE 545;San Nicolas;Comuna 1;1047;C1047AAK
-58,37981478;-34,59414798;1950;ABRIL;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4393 0684;;lunes a sábado de 8 a 00;ARENALES;900;;ARENALES 900;Retiro;Comuna 1;1061;C1061AAD
-58,37021291;-34,61614207;2549;ABRIL BRISTO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4342 8000;abrilbistro@fibertel.com;;BALCARCE;722;;BALCARCE 722;San Telmo;Comuna 1;1064;C1064AAP
-58,46085396;-34,64275814;1122;ABUELO MATIAS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4611 2758;abuelomatias@hotmail.com;;SAN PEDRITO;1094;;SAN PEDRITO 1094;Flores;Comuna 7;1406;C1406EXX
-58,43766997;-34,58301901;7;ACABAR;BAR;MINUTAS;BOHEMIO;4772 0845;acabar@bank.com.ar;;HONDURAS;5733;;HONDURAS 5733;Palermo;Comuna 14;1414;C1414BNG
-58,37750139;-34,60234646;2096;ACAPULCO;RESTAURANTE;PORTEÃ‘A;CLASICO PORTEÑO;4394 7975;acapulco@restaurante.com.ar;;LAVALLE;757;;LAVALLE 757;San Nicolas;Comuna 1;1047;C1047AAO
-58,39159269;-34,61269406;1336;ACAPULCO;CAFE;;;;;;MORENO;1800;;MORENO 1800;Monserrat;Comuna 1;1093;C1093ABH
-58,48398043;-34,57558625;2823;ACCADEMIA della pizza;RESTAURANTE;TRADICIONAL;MODERNO;4522-4400;;;Triunvirato;4495;;TRIUNVIRATO AV. 4495;Villa Urquiza;Comuna 12;1431;C1431FBH
-58,40451197;-34,61142666;678;A CORUÃƒâ€˜A;VINERIA;TRADICIONAL;CLASICO PORTEÑO;4931 3582;;;MISIONES;125;;MISIONES 125;Balvanera;Comuna 3;1083;C1083ABC
-58,41028019;-34,5894053;1638;ACQUANOVA;;MINUTAS;CLASICO PORTEÑO;4825 1833;;lunes a domingo de 8 a 3;DIAZ CNEL.;1879;;DIAZ, CNEL. AV. 1879;Recoleta;Comuna 2;1425;C1425DQE
-58,41567048;-34,59777248;1639;ACROPOLIS;CAFE;SANDWICHERIA;CLASICO PORTEÑO;4963 4888;;lunes a viernes de 7 a 20;CORDOBA;3493;;CORDOBA AV. 3493;Recoleta;Comuna 2;1188;C1188AAA
-58,45826625;-34,63970263;1124;ACUARIO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;;VARELA;920;;VARELA AV. 920;Flores;Comuna 7;1406;C1406EKT
-58,45261731;-34,56527464;489;ADANN;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4783 6429;;;HERNANDEZ JOSE;2345;;HERNANDEZ, JOSE 2345;Belgrano;Comuna 13;1426;C1426EOO
-58,39785245;-34,59714629;1641;AFICHE;CAFE;INTERNACIONAL;CLASICO PORTEÑO;4822 8979;;;ALVEAR MARCELO T. De;2119;;ALVEAR, MARCELO T. De 2119;Recoleta;Comuna 2;1122;C1122AAG
-58,5204763;-34,62615766;2648;A FUEGO LENTO;RESTAURANTE;TRADICIONAL;RUSTICA;4644 6566;;;SANTO TOME;5915;;SANTO TOME 5915;Versalles;Comuna 10;1408;C1408AYM
-58,35939587;-34,62879751;1222;AGARRATE CATALINA;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4307 1099;;lunes a sábado de 9 a 16 y de 19 a 21;CABOTO;537;;CABOTO 537;Boca;Comuna 4;1157;C1157ABI
-58,38406857;-34,58936478;1951;AGRAZ;RESTAURANTE;INTERNACIONAL;MODERNO;4859 1129;;;POSADAS;1232;;POSADAS 1232;Retiro;Comuna 1;1011;C1011ABF
-58,36546876;-34,62010255;1591;AIRES DE PATAGONIA;RESTAURANTE;PATAGONICA;RUSTICA;4315 2151;www.airesdepatagonia.com;lunes a lunes de 11 al cierre;MOREAU DE JUSTO ALICIA;1798;;MOREAU DE JUSTO, ALICIA AV. 1798;Puerto Madero;Comuna 1;1107;C1107AFJ
-58,37091237;-34,61598693;2547;A. J. JARDIN CERVERCERO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4300 7480;;lunes a domingo de 9 a 5;CHILE;342;;CHILE AV. 342;San Telmo;Comuna 1;1098;C1098AAH
-58,3923528;-34,61395387;677;ALA...;RESTAURANTE;;;;;;BELGRANO;1836;;BELGRANO AV. 1836;Balvanera;Comuna 3;1094;C1094AAN
-58,41050581;-34,61052573;679;ALABAMA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4861 2210;;;RIVADAVIA;3102;;RIVADAVIA AV. 3102;Balvanera;Comuna 3;1203;C1203AAQ
-58,43406204;-34,57586786;13;ALABAMA;RESTAURANTE;;;;;;SANTA FE;5270;;SANTA FE AV. 5270;Palermo;Comuna 14;1425;C1425BIO
-58,39053136;-34,61143764;1337;ALAI;CAFE;MINUTAS;MODERNO;4377 2363;;;ALSINA ADOLFO;1702;;ALSINA, ADOLFO 1702;Monserrat;Comuna 1;1088;C1088AAR
-58,39952217;-34,59687595;1637;A LA MAROSKA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4824 8878;;;ALVEAR MARCELO T. De;2251;;ALVEAR, MARCELO T. De 2251;Recoleta;Comuna 2;1122;C1122AAI
-58,38356542;-34,60912235;1339;ALAMEDA;RESTAURANTE;INTERNACIONAL;;4381 2859;;lunes a lunes de 12 a 15 y de 20 a 00;DE MAYO;1203;;DE MAYO AV. 1203;Monserrat;Comuna 1;1085;C1085ABC
-58,39765854;-34,58719587;1642;ALAMEDA;RESTAURANTE;MINUTAS;MODERNO;4803 3380;;;LAS HERAS GRAL.;2324;;LAS HERAS GENERAL AV. 2324;Recoleta;Comuna 2;1425;C1425ASN
-58,43258;-34,58669839;8;AL ANDALUZ;BAR;MEDITERRANEA;ANTIGUO;4832 9286;;;GODOY CRUZ;1823;;GODOY CRUZ 1823;Palermo;Comuna 14;1414;C1414CYM
-58,37340056;-34,61606963;2548;ALARICO;RESTAURANTE;ESPAÃ‘OLA;CLASICO PORTEÑO;;alarico_tapas@hotmail.com;lunes a viernes de 12 a 00 - sábado de 20 a 3;CHILE;518;;CHILE 518;San Telmo;Comuna 1;1098;C1098AAL
-58,3789129;-34,62202501;1093;AL BAR;BAR;INTERNACIONAL;MODERNO;4300 5208;;;SAN JUAN;915;;SAN JUAN AV. 915;Constitucion;Comuna 1;1147;C1147AAH
-58,4072536;-34,61029154;680;ALBERNIZ;CAFE;PIZZERIA;CLASICO PORTEÑO;4861 7500;;;RIVADAVIA;2886;;RIVADAVIA AV. 2886;Balvanera;Comuna 3;1203;C1203AAN
-58,3775746;-34,61969294;1094;ALBOR;BAR;PARRILLA;CLASICO PORTEÑO;;;;CALVO CARLOS;819;;CALVO, CARLOS 819;Constitucion;Comuna 1;1102;C1102AAQ
-58,39657272;-34,59868724;1640;AL CLUB;RESTAURANTE;PORTEÃ‘A;MODERNO;4963 0040;;;PARAGUAY;2044;;PARAGUAY 2044;Recoleta;Comuna 2;1121;C1121ABF
-58,43052464;-34,60523941;611;ALDEA DE ALBARICOQUE;RESTAURANTE;;;4865 4207;;;LAMBARE;847;;LAMBARE 847;Almagro;Comuna 5;1185;C1185ABA
-58,38557326;-34,59842184;1952;ALEA;CAFE;;;;;;TALCAHUANO;888;;TALCAHUANO 888;Retiro;Comuna 1;1013;C1013AAR
-58,42947034;-34,5990424;2657;ALE- ALE;;PARRILLA;RUSTICA;4867 4618;;;ESTADO DE ISRAEL;4503;;ESTADO DE ISRAEL AV. 4503;Villa Crespo;Comuna 15;1185;C1185AAE
-58,38877586;-34,5993069;1955;ALEKS;CAFE;;;;;;CORDOBA;1541;;CORDOBA AV. 1541;Recoleta;Comuna 2;1055;C1055AAF
-58,37144422;-34,60079143;2097;ALEXANDER;RESTAURANTE;INTERNACIONAL;;4315 0112;;;TUCUMAN;304;;TUCUMAN 304;San Nicolas;Comuna 1;1049;C1049AAH
-58,41872588;-34,58900334;12;ALFONSO 1RO;RESTAURANTE;;;;;;PARAGUAY;3948;;PARAGUAY 3948;Palermo;Comuna 14;1425;C1425BSD
-58,40257729;-34,59539971;1643;ALFRED;RESTAURANTE;MINUTAS;MODERNO;4827 4200;alfred_cocinabar@hotmail.com;;PUEYRREDON AV;1335;;PUEYRREDON AV. 1335;Recoleta;Comuna 2;1118;
-58,43214062;-34,5873739;10;AL FRESCO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4833 2776;;lunes a sábado de 8 a 20;HONDURAS;5201;;HONDURAS 5201;Palermo;Comuna 14;1414;C1414BMU
-58,37209467;-34,59959783;2098;ALGO NATURAL;RESTAURANTE;TRADICIONAL;MODERNO;4312 5976;;lunes a viernes de 8 a 16;VIAMONTE;351;;VIAMONTE 351;San Nicolas;Comuna 1;1053;C1053ABG
-58,48521265;-34,63472873;2630;ALHAMBRA;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4674 3588;;;RIVADAVIA;8628;;RIVADAVIA AV. 8628;Velez Sarsfield;Comuna 10;1407;C1407DYV
-58,43160636;-34,5890697;14;ALHARACA;RESTAURANTE;MINUTAS;MODERNO;4831 2787;;;GORRITI;5045;;GORRITI 5045;Palermo;Comuna 14;1414;C1414BJQ
-58,37399696;-34,60138696;2100;ALIMENTAR;RESTAURANTE;;;4328 7700;www.alimentar.com;;SAN MARTIN;570;;SAN MARTIN 570;San Nicolas;Comuna 1;1004;C1004AAL
-58,38285631;-34,6026351;2099;ALIMENTARI;RESTAURANTE;INTERNACIONAL;;4384 9364;www.alimentari.com;;LAVALLE;1120;;LAVALLE 1120;San Nicolas;Comuna 1;1048;C1048AAD
-58,37208833;-34,60436256;2101;ALIMENTOS;RESTAURANTE;FAST FOOD;MODERNO;4343 5656;info@alimentos.com;lunes a viernes de 7 a 19;SARMIENTO;372;;SARMIENTO 372;San Nicolas;Comuna 1;1041;C1041AAH
-58,50429929;-34,65290497;1285;ALL VERDI;RESTAURANTE;INTERNACIONAL;MODERNO;4686 2932;;;OLIDEN;1493;;OLIDEN 1493;Mataderos;Comuna 9;1440;C1440CQC
-58,40610175;-34,59561776;1645;ALMACEN NATURISTA;RESTAURANTE;NATURISTA;MODERNO;4963 1513;;lunes a sábado de 8 a 22;MANSILLA LUCIO NORBERTO GRAL.;2740;;MANSILLA, LUCIO NORBERTO, GENERAL 2740;Recoleta;Comuna 2;1425;C1425BPF
-58,43524299;-34,58158673;15;ALMONTE;RESTAURANTE;ESPAÃ‘OLA;ESPAÑOL;4773 7070;;;BONPLAND;1939;;BONPLAND 1939;Palermo;Comuna 14;1414;C1414CMY
-58,43495912;-34,61754471;956;ALO - ALO;RESTAURANTE;TRADICIONAL;ELEGANTE;4902 8050;;;RIVADAVIA;4945;;RIVADAVIA AV. 4945;Caballito;Comuna 6;1424;C1424CEE
-58,45713092;-34,62675319;1123;ALPINA SKATE;PUB;SANDWICHERIA;CLASICO PORTEÑO;4611 9218;alpina@fibertel.com.ar;;RIVADAVIA;6431;;RIVADAVIA AV. 6431;Flores;Comuna 7;1406;C1406GLH
-58,42667337;-34,59194344;9;AL SHARK;RESTAURANTE;ARABE;ARABE;4833 6933;www.alshark.com.ar;;SCALABRINI ORTIZ RAUL;1426;;SCALABRINI ORTIZ, RAUL AV. 1426;Palermo;Comuna 14;1414;C1414DOO
-58,37044709;-34,61007602;1338;ALSINA 300;RESTAURANTE;MINUTAS;MODERNO;4331 7636;;lunes a viernes de 8 a 19.30;ALSINA ADOLFO;300;;ALSINA, ADOLFO 300;Monserrat;Comuna 1;1087;C1087AAB
-58,41552954;-34,58605603;11;AL TAGLIO PIZZORANTE;RESTAURANTE;;;;;;ARAOZ;2476;;ARAOZ 2476;Palermo;Comuna 14;1425;C1425DGL
-58,4360137;-34,62589814;958;ALTO GOYENO;RESTAURANTE;TRADICIONAL;MODERNO;4924 6500;;;GOYENA PEDRO;599;;GOYENA, PEDRO AV. 599;Caballito;Comuna 6;1424;C1424BSF
-58,48629411;-34,64068797;1522;ALVEAR PARK;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4881 0102;;lunes a lunes de 7 a 23;ALBERDI JUAN BAUTISTA;4302;;ALBERDI, JUAN BAUTISTA AV. 4302;Parque Avellaneda;Comuna 9;1407;C1407GZX
-58,47075154;-34,63111882;1125;AMADEUS;PUB;;;;;;RIVADAVIA;7472;;RIVADAVIA AV. 7472;Flores;Comuna 7;1406;C1406GMR
-58,40796543;-34,61966785;682;AMAKAI;CAFE;MINUTAS;CLASICO PORTEÑO;4932 7909;;;INDEPENDENCIA;3001;;INDEPENDENCIA AV. 3001;Balvanera;Comuna 3;1225;C1225AAM
-58,4696312;-34,58277714;2749;AMARETTO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4552 0080;;lunes a lunes de 8 a 23;CHORROARIN;1206;;CHORROARIN AV. 1206;Villa Ortuzar;Comuna 15;1427;C1427CXW
-58,49734522;-34,59698886;2696;AMBAR BUENOS AIRES;PUB;SANDWICHERIA;MODERNO;;;;BEIRO FRANCISCO;3124;;BEIRO, FRANCISCO AV. 3124;Villa Del Parque;Comuna 11;1419;C1419HYS
-58,44133019;-34,60888;957;AMERICA;RESTAURANTE;TRADICIONAL;;4982 0398;;lunes a domingo mediodía y noche;HIDALGO;899;;HIDALGO 899;Caballito;Comuna 6;1405;C1405BCM
-58,3749608;-34,60897844;1340;AMERICA DELI;CAFE;MINUTAS;MODERNO;4381 4807;;;PERU;85;;PERU 85;Monserrat;Comuna 1;1067;C1067AAA
-58,38640792;-34,61337484;1342;AMERICANO;BAR;;;4982 7790;;;BELGRANO;1421;;BELGRANO AV. 1421;Monserrat;Comuna 1;1093;C1093AAC
-58,38183408;-34,61653756;1341;AMICO;CAFE;MINUTAS;MODERNO;4381 4807;;;CHILE;1110;;CHILE 1110;Monserrat;Comuna 1;1098;C1098AAX
-58,3866954;-34,60641179;2102;AMIGOS;BAR;MINUTAS;CLASICO PORTEÑO;4372 2671;;lunes a viernes de 7 a 22;PERON JUAN DOMINGO TTE.;1417;;PERON, JUAN DOMINGO, TTE. GENERAL 1417;San Nicolas;Comuna 1;1037;C1037ACA
-58,38769504;-34,58621359;1644;AMIGOS PROPIETARIOS;RESTAURANTE;TRADICIONAL;;;;lunes a domingo mediodía y noche;AYACUCHO;2183;;AYACUCHO 2183;Recoleta;Comuna 2;1112;C1112AAM
-58,38151104;-34,6163939;1095;AMIKO;RESTAURANTE;PIZZERIA;;4381 4807;;lunes a domingo de 12 a 15 y de 20 a 00;LIMA;700;;LIMA 700;Monserrat;Comuna 1;1073;C1073AAN
-58,37015062;-34,60214835;2104;ANAHI;BAR;MINUTAS;CLASICO PORTEÑO;4311 2412;;lunes a viernes de 7 a 21;ALEM LEANDRO N.;481;;ALEM, LEANDRO N. AV. 481;San Nicolas;Comuna 1;1003;C1003AAE
-58,38734659;-34,61120849;1343;AÃƒâ€˜ARO CERO;CAFE;;;4382 0083;;;ALSINA ADOLFO;1494;;ALSINA, ADOLFO 1494;Monserrat;Comuna 1;1088;C1088AAL
-58,40529401;-34,59331965;1646;ANCHORENA PLAZA;RESTAURANTE;PIZZERIA;MODERNO;4484 8951;;;SANTA FE;2702;;SANTA FE AV. 2702;Recoleta;Comuna 2;1425;C1425BGP
-58,43458053;-34,57563914;17;ANDEN;RESTAURANTE;INTERNACIONAL;MODERNO;4773 0707;;;SANTA FE;5302;;SANTA FE AV. 5302;Palermo;Comuna 14;1425;C1425BIP
-58,41388397;-34,5908436;16;ANGECINA;RESTAURANTE;INTERNACIONAL;MODERNO;4825 1140;;lunes a domingo de 8.30 a 2;REPUBLICA DOMINICANA;3386;;REPUBLICA DOMINICANA 3386;Palermo;Comuna 14;1425;C1425GKB
-58,44210575;-34,58642203;18;ANGELIN;RESTAURANTE;PIZZERIA;MODERNO;4774 3836;;;CORDOBA;5770;;CORDOBA AV. 5770;Chacarita;Comuna 15;1414;C1414BBQ
-58,41360088;-34,59076868;19;ANGELINA;RESTAURANTE;INTERNACIONAL;MODERNO;4825 1111;angelinarestoran@hotmail.com;;CHARCAS;3386;;CHARCAS 3386;Palermo;Comuna 14;1425;C1425BMR
-58,40577031;-34,59271066;1647;ANGELO'S;CAFE;SANDWICHERIA;CLASICO PORTEÑO;;;lunes a sábado de 19 a 7;SANTA FE;2779;;SANTA FE AV. 2779;Recoleta;Comuna 2;1425;C1425BGC
-58,4605471;-34,54409035;1496;ANGELUS;RESTAURANTE;PIZZERIA;MODERNO;4703 2911;;;DEL LIBERTADOR;7598;;DEL LIBERTADOR AV. 7598;Núñez;Comuna 13;1429;C1429BMV
-58,47135189;-34,63128549;1126;ANGLO;CAFE;;;;;;RIVADAVIA;7510;;RIVADAVIA AV. 7510;Flores;Comuna 7;1406;C1406GMS
-58,37240705;-34,60206359;2103;ANGOSTURA;RESTAURANTE;MINUTAS;MODERNO;4314 2334;;lunes a viernes de 7 a 20;LAVALLE;400;;LAVALLE 400;San Nicolas;Comuna 1;1047;C1047AAH
-58,46928641;-34,63073102;1129;ANIMATE;CAFE;MINUTAS;MODERNO;;;;RIVADAVIA;7390;;RIVADAVIA AV. 7390;Flores;Comuna 7;1406;C1406GMQ
-58,45018557;-34,58713493;562;ANITA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;;NEWBERY JORGE;3902;;NEWBERY, JORGE AV. 3902;Chacarita;Comuna 15;1427;C1427EGS
-58,38978183;-34,60076063;2105;ANKER;RESTAURANTE;INTERNACIONAL;;4371 9253;;;VIAMONTE;1602;;VIAMONTE 1602;San Nicolas;Comuna 1;1055;C1055ABF
-58,44664724;-34,56813268;20;ANTAÃƒâ€˜O BAR;BAR;MINUTAS;CLASICO PORTEÑO;4706 3718;;;VUELTA DE OBLIGADO;1101;;VUELTA DE OBLIGADO 1101;Palermo;Comuna 14;1426;C1426BEA
-58,42973547;-34,58628847;21;ANTE SALA;BAR;MINUTAS;MODERNO;4833 4200;;;COSTA RICA;4969;;COSTA RICA 4969;Palermo;Comuna 14;1414;C1414BSO
-58,43204671;-34,59251397;22;ANUSH;BAR;ARMENIA;ARMENIA;4631 1349;;;ARMENIA;1242;;ARMENIA 1242;Palermo;Comuna 14;1414;C1414DKB
-58,38076386;-34,60653983;2106;APETECE;RESTAURANTE;INTERNACIONAL;MODERNO;5237 5664;www.apetece.com.ar;lunes a viernes de 8 a 20;PELLEGRINI CARLOS;169;;PELLEGRINI, CARLOS 169;San Nicolas;Comuna 1;1009;C1009ABC
-58,41200653;-34,61531586;681;APLAUSOS;RESTAURANTE;;;;;;BELGRANO;3251;;BELGRANO AV. 3251;Balvanera;Comuna 3;1210;C1210AAA
-58,3779913;-34,60241959;2108;ARABIAN FOOD;RESTAURANTE;FAST FOOD;MODERNO;4322 6705;;lunes a viernes de 7 a 1 - sábado de 10 a 2 - domingo de 12 a 1;LAVALLE;796;;LAVALLE 796;San Nicolas;Comuna 1;1047;C1047AAP
-58,39536051;-34,6042342;683;ARACA BUENOS AIRES;RESTAURANTE;;;;;;AYACUCHO;408;;AYACUCHO 408;Balvanera;Comuna 3;1026;C1026AAB
-58,3769913;-34,6000049;2107;ARCANGEL;RESTAURANTE;MINUTAS;MODERNO;4322 4502;;lunes a viernes de 8 a 20;VIAMONTE;702;;VIAMONTE 702;San Nicolas;Comuna 1;1053;C1053ABP
-58,38130616;-34,59411306;1953;ARENALES 999;BAR;;;;;;ARENALES;999;;ARENALES 999;Retiro;Comuna 1;1061;C1061AAE
-58,43019031;-34,57083333;23;AREVALO AL FONDO;RESTAURANTE;TRADICIONAL;ELEGANTE;4776 5261;arevaloalfondo@hotmail.com;;AREVALO;3056;;AREVALO 3056;Palermo;Comuna 14;1426;C1426DJH
-58,48123151;-34,6083792;2690;ARGOT CAFE;PUB;SANDWICHERIA;BRITANICA;4588 1329;www.bairesrestobar.com.ar;;ALVAREZ JONTE;2744;;ALVAREZ JONTE AV. 2744;Villa Santa Rita;Comuna 11;1416;C1416EXZ
-58,42992106;-34,57233088;24;ARGUIBEL;RESTAURANTE;REGIONAL;BOHEMIO;4899 0700;www.arguibel.com;;ARGUIBEL ANDRES;2826;;ARGUIBEL, ANDRES 2826;Palermo;Comuna 14;1426;C1426DKB
-58,52374451;-34,63920822;1266;ARI- CA;RESTAURANTE;MINUTAS;MODERNO;4641 0076;;;COSQUIN;25;;COSQUIN 25;Liniers;Comuna 9;1408;C1408GIA
-58,5220315;-34,63899146;1268;ARI- CA II;RESTAURANTE;MINUTAS;MODERNO;;;;RIVADAVIA;11156;;RIVADAVIA AV. 11156;Liniers;Comuna 9;1408;C1408AAY
-58,43074841;-34,59166206;25;ARMENIA RETAURANT;RESTAURANTE;ARMENIA;ARMENIA;4776 2500;;;ARMENIA;1366;;ARMENIA 1366;Palermo;Comuna 14;1414;C1414DKD
-58,43631257;-34,61832695;959;ARMY CAFE;RESTAURANTE;INTERNACIONAL;MODERNO;4903 8802;sugerencias@cafearmy.coma.r;;RIVADAVIA;5000;;RIVADAVIA AV. 5000;Caballito;Comuna 6;1424;C1424CER
-58,37528402;-34,60305761;2109;AROMA;RESTAURANTE;MINUTAS;MODERNO;4326 6707;aromaa@arcor.com;;FLORIDA;428;;FLORIDA 428;San Nicolas;Comuna 1;1005;C1005AAJ
-58,38508447;-34,59572275;1956;AROMA AMBIENTAL;BAR;;;;;;SANTA FE;1260;;SANTA FE AV. 1260;Retiro;Comuna 1;1059;C1059ABT
-58,36622533;-34,62782583;1223;AROMA EXPRESS;RESTAURANTE;MINUTAS;MODERNO;4300 6552;;lunes a domingo de 8 a 00;PI Y MARGALL;775;;PI Y MARGALL 775;Boca;Comuna 4;1155;C1155AHC
-58,43179578;-34,60217239;613;AROMI;RESTAURANTE;MINUTAS;MODERNO;;;;CORRIENTES;4690;;CORRIENTES AV. 4690;Almagro;Comuna 5;1195;C1195AAS
-58,4598773;-34,62796307;1130;AROMI;BAR;ITALIANA;MODERNO;4633 6915;;;RIVADAVIA;6701;;RIVADAVIA AV. 6701;Flores;Comuna 7;1406;C1406GLK
-58,42824049;-34,62034917;960;ARRIGO;CAFE;;;;;;LA PLATA;479;;LA PLATA AV. 479;Caballito;Comuna 6;1235;C1235ABB
-58,37260887;-34,64214651;896;ARSENO;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4301 7894;;;ISABEL LA CATOLICA;1094;;ISABEL LA CATOLICA 1094;Barracas;Comuna 4;1268;C1268ACV
-58,37258862;-34,6219662;2550;ARTE CAFE;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4361 2002;;lunes a domingo de 7.30 al cierre;SAN JUAN;480;;SAN JUAN AV. 480;San Telmo;Comuna 1;1147;C1147AAP
-58,42975359;-34,58757475;26;ARTE DE MAFIA;RESTAURANTE;ITALIANA;ITALIANA;4831 9213;www.artedemafia.com.ar;;EL SALVADOR;4975;;EL SALVADOR 4975;Palermo;Comuna 14;1414;C1414BPO
-58,38301954;-34,61561519;1344;ARTESANIA DEL SABOR;RESTAURANTE;TRADICIONAL;MODERNO;4381 9075;;;SALTA;622;;SALTA 622;Monserrat;Comuna 1;1074;C1074AAN
-58,43031005;-34,60232903;612;ARTON;RESTAURANTE;INTERNACIONAL;MODERNO;4862 5975;;;CORRIENTES;4606;;CORRIENTES AV. 4606;Almagro;Comuna 5;1195;C1195AAS
-58,38205145;-34,61306881;1345;ARTUR;RESTAURANTE;;;;;;BELGRANO AV;1119;;BELGRANO AV. 1119;Monserrat;Comuna 1;1092;C1092AAL
-58,3643274;-34,60596605;1593;ASIA DE CUBA;RESTAURANTE;INTERNACIONAL;ORIENTAL;4894 1328;;;DEALESSI PIERINA;750;;DEALESSI, PIERINA 750;Puerto Madero;Comuna 1;;
-58,37430714;-34,62437681;2551;ASI DE SIMPLE;CAFE;SANDWICHERIA;AMERICANO;4361 0974;;lunes a domingo de 7.30 a 20.30;GARAY JUAN DE;615;;GARAY, JUAN DE AV. 615;San Telmo;Comuna 1;1153;C1153ABE
